golden_id,system,candidate,groundedness,correctness,tone,actionability,overall,rationale,parse_ok
10,agent,Hey! Sorry to hear that. Please DM us your account email and username so we can look into the double charge for you. 🙂,5,5,5,5,5,"The reply accurately reflects the reference and evidence by requesting the necessary account details via DM to investigate the issue, maintaining a friendly and concise tone.",True
11,agent,"We love your enthusiasm! 🎶 While we don’t provide music facts on demand, feel free to explore artist bios and playlists on Spotify. Let us know if you need anything else!",1,2,4,2,1,"The candidate invents a policy ('don't provide music facts on demand') and suggests irrelevant features (artist bios) that are not in the evidence or reference, failing to acknowledge the specific request for 2017 recap content.",True
12,agent,"Hey! We hear you – app updates for new devices are on our roadmap. Thanks for the heads‑up, we’ll pass this along to the team. /KB",4,4,5,3,4,"The reply is friendly and correctly acknowledges the issue using the provided evidence, though it slightly over-specifies 'roadmap' compared to the reference's 'working on it' and lacks a concrete next step like 'stay tuned'.",True
13,agent,"Hi! If a track is listed but won’t play, it’s often due to regional licensing. It may become available soon. Try again later or check for app updates. Thanks for your patience! /GK",2,3,4,2,2,"The reply invents specific troubleshooting steps (app updates) and explanations (regional licensing) not found in the evidence, and fails to ask for the necessary diagnostic details (device/version) present in the reference and evidence.",True
14,agent,Hey! We don’t have a release date for Perfect Velvet right now. Keep an eye on the app for updates—new music shows up as soon as it’s available. 🎶,2,4,5,3,3,"The reply is friendly and correctly conveys the lack of a release date, but it invents a specific policy about 'new music showing up as soon as it's available' which is not supported by the provided evidence or reference, and it fails to provide the specific resource link (/MO) mentioned in the refe",True
15,agent,Hey! We’re waiting on the label to add the album. Keep an eye out – it’ll appear as soon as it’s available to us. 🎧,2,4,5,3,3,"The reply invents a specific reason ('waiting on the label') not present in the evidence, which violates groundedness, though the tone and general sentiment align well with the reference.",True
16,agent,"We’re here to help right on Twitter and in the app—no phone line, but our support team is ready to assist you there! 😊",4,4,5,3,4,"The reply is friendly and correctly addresses the lack of a phone line, but it is slightly less actionable than the reference because it does not explicitly invite the customer to share their specific issue in the current thread.",True
17,agent,"Sorry about the beeping! Can you share your Windows version and Spotify app version? Try reinstalling the desktop app (remove via Settings > Apps, then download the latest installer). Let us know if it helps. /TF",2,3,4,4,3,"The reply invents specific troubleshooting steps (reinstalling via Settings) not present in the provided evidence or reference, which only suggests a restart, making it ungrounded despite being helpful and well-toned.",True
18,agent,Thanks for the love! We’re always working on expanding to new places—stay tuned for updates. 🙏,4,3,5,1,2,"The reply is friendly and grounded in the general expansion policy, but it fails to provide the specific, actionable next step (adding an email) that the reference reply and evidence emphasize.",True
19,agent,We get it—let’s sort this out fast. Please DM us your account email & username so we can review the billing issue. Thanks!,5,5,5,5,5,"The reply accurately reflects the reference's instruction to DM for details, maintains a friendly and concise tone, and provides a clear, actionable next step without inventing policies.",True
20,agent,"Hey! Family plans require members to share the same address. If you’re temporarily away, you can stay on the plan, but we’ll need to verify your address. Please DM us your username & email so we can help. /AR",4,4,5,5,4,"The reply is friendly and actionable, correctly requesting the necessary details, but it slightly overstates the policy by promising the user can 'stay on the plan' without confirming eligibility, whereas the reference is more cautious.",True
21,agent,Hey! We’re still working on getting Lemonade added. Hang tight – we’ll let you know when it’s available. Thanks for your patience!,4,4,5,2,3,"The reply is friendly and grounded in the general fact that the track is pending, but it fails to provide the specific link or concrete next step present in the reference reply, making it less actionable.",True
22,agent,"Hey! A “Bad Request” often means a cache/cookie hiccup. Try clearing Chrome’s cache or open an incognito window, then reload spotify.com. Let us know if it’s still acting up!",4,5,5,5,5,"The reply is excellent because it correctly identifies the issue, provides the specific troubleshooting step (clearing cache) found in the reference, and adds a helpful alternative (incognito mode) that is standard technical advice for this specific error, all while maintaining a friendly and concis",True
23,agent,"Hey! Try clearing some space and make sure Spotify can run in the background. Also, tap Settings → Music → Download quality and re‑download the albums. Let us know if it helps! /RC",1,2,4,3,1,"The candidate invents specific troubleshooting steps (clearing space, background settings, download quality) that are not present in the provided evidence or reference, which specifically directs the user to a help article about unexpectedly removed downloads.",True
24,agent,Hey! We’re still working on getting Beyoncé’s Lemonade on Spotify. Thanks for your patience—stay tuned for updates!,4,4,5,2,3,"The reply is friendly and grounded in the general status of the album, but it fails to provide the specific link or resource mentioned in the reference and evidence, reducing its actionability.",True
25,agent,Sorry you’re seeing that error! Please DM us the email you’re trying to use so we can check it for you. /DM,5,5,5,5,5,"The reply accurately reflects the reference solution by requesting the specific email details via DM to resolve the conflict, maintaining a friendly and concise tone appropriate for the platform.",True
26,agent,"Sorry to hear the tracks are cutting off! Try restarting the app or checking your connection. If it persists, let us know via the Help Center so we can dig deeper. 🎧",1,1,4,2,1,"The candidate invents troubleshooting steps (restarting app, checking connection) not found in the evidence or reference, and fails to request the specific song links required to investigate the issue.",True
27,agent,Hey! Acid Rap isn’t on Spotify right now due to licensing. We’ll share any updates when it becomes available. Thanks for the love! 🎧,2,3,4,1,2,"The reply invents a specific reason ('licensing') not found in the evidence and fails to provide the required link to content information, making it ungrounded and non-actionable.",True
28,agent,Sure thing! Open Settings → Account → Your Plan and tap “Cancel Premium.” Follow the prompts and you’ll be all set. Need more help? DM us!,1,2,4,3,1,The candidate invents specific UI steps not found in the evidence and fails to follow the reference protocol of requesting the account email via DM to assist with the cancellation.,True
29,agent,"Hey! We’re working on expanding to more countries, including Serbia. Keep an eye on our announcements— we’ll let you know when it’s available. Thanks for your patience!",2,3,4,2,2,"The candidate invents a specific promise to expand to Serbia and fails to provide the concrete next step (email registration) found in the reference, making it less grounded and actionable.",True
30,agent,"Sorry you’re stuck! Try logging out of the web player, then log back in. If that doesn’t work, restart Chrome or your Mac and give it another go. Let us know if it persists. /MA",5,4,5,5,4,"The reply is grounded in the provided evidence and offers actionable troubleshooting steps, though it misses the reference's specific request for an error screenshot which would be more diagnostic.",True
31,agent,Hey! Sorry to hear that. Please DM us your account email/username so we can check why the Hulu bundle was removed and get it sorted. Thanks!,5,5,5,5,5,"The reply is concise, friendly, and accurately requests the necessary account details to investigate the issue, aligning perfectly with the reference and evidence.",True
32,agent,Sorry for the delay! We’ve just DM’d you with a follow‑up. Please check your inbox and let us know if you need anything else. /DR,5,5,5,4,5,"The reply is grounded in the evidence (DM sent), correctly addresses the delay and directs the user to the DM channel, and maintains a friendly, concise tone suitable for Twitter support.",True
33,agent,"We’d love to bring more Ben Fankhauser tracks to Spotify! Our catalog decisions are based on licensing, but you can check the content info here: /DF 🙂",4,5,5,5,5,"The reply is excellent because it correctly identifies the customer's intent, uses the appropriate evidence link (/DF) to address the content availability issue, and maintains a friendly, concise tone suitable for social media support.",True
34,agent,"Hey! Sorry you’re seeing that error. Try reinstalling the app and clearing its cache. If it’s still there, DM us your account email so we can look deeper. 🙂",4,3,5,4,4,"The reply is friendly and actionable, but it introduces 'clearing cache' which is not in the evidence, and prioritizes a reinstall over the reference's immediate request for account details to investigate the specific data discrepancy.",True
35,agent,"Hey! Sorry the update caused issues. Try running the installer as admin and reinstall the Visual C++ Redistributable, then restart. If it persists, DM us your Windows version and we’ll dig deeper.",1,2,4,3,2,"The candidate invents specific technical troubleshooting steps (Visual C++ Redistributable) that are not present in the provided evidence or reference, violating the groundedness constraint.",True
36,agent,"Hey! To use a gift card for the $99 yearly Premium, DM us your account email/username and a photo of the card or error you’re seeing. We’ll help you get it set up!",2,1,4,2,1,"The candidate invents a process (DMing a photo of the card) that contradicts the reference reply, which states gift cards are not a valid recurring payment method for this subscription.",True
37,agent,"Hey! New releases roll out to Spotify as soon as they’re available from the label, usually within a few days. Thanks for being with us since 2013! 🎧",2,2,4,1,2,The reply invents specific timelines ('usually within a few days') not found in the evidence and fails to provide the concrete next step (licensing info link or request for email) required to resolve the issue.,True
38,agent,Great idea! We'll pass your suggestion along to the team. Thanks for the creative input! 🎧,2,2,4,1,2,"The candidate invents a promise to 'pass the suggestion along' which is not supported by the evidence or reference, and fails to provide the specific voting link that the reference reply correctly offers.",True
39,agent,"Sorry for the hassle! We're aware of issues on newer iPhones. Could you DM us your iPhone X model, iOS version, and Spotify app version? We'll look into it ASAP. /CH",2,2,4,3,2,"The candidate invents a specific issue ('issues on newer iPhones') and requests a DM, which contradicts the reference's simple acknowledgment and 'stay tuned' approach, while also misidentifying the customer's device context (iPhone X is not 'newer' in the context of the complaint about a missing up",True
40,agent,"We get it—missing music is frustrating. While we can’t guarantee a return, we’ll pass your request to the team. Thanks for sharing! 🎧",5,2,5,2,3,"The reply is well-written and grounded in the provided evidence regarding feedback, but it fails to ask for the specific artist/album details required by the reference reply to actually assist the customer.",True
41,agent,Hey! Presale codes are sent via email to select fans of the artist. Keep an eye on your inbox – that’s where you’ll find it if you’re eligible. 🎶,5,5,5,4,5,"The reply accurately reflects the policy found in the evidence and reference, maintains a friendly and concise tone suitable for social media, and provides a clear, actionable next step for the customer.",True
42,agent,Hey! We’d love to help. Please DM us with your account details so we can look into the artist issue you’re experiencing. 😊,5,5,5,5,5,"The reply is grounded in the evidence (requesting account details via DM), correctly advances the issue by moving the conversation to a private channel as per the reference, and maintains a friendly, concise tone suitable for Twitter support.",True
43,agent,Hey! Sorry to hear your library disappeared. Please check the “Downloads unexpectedly removed” guide in our Help Center—it walks you through restoring your music. Let us know if it helps! /SV,5,4,5,5,4,"The reply is grounded in the provided evidence and offers a concrete, helpful first step (checking the guide), though it misses the reference's immediate request for account details to investigate further.",True
44,agent,Sure thing! Please check your DMs—we’ve sent a secure message to help sort out the charges. Let us know any details there. /MC,2,2,4,3,2,"The reply hallucinates that a secure message has already been sent and fails to request the necessary account details (email/username) required to investigate the charges, unlike the reference and evidence.",True
45,agent,"Hey! We don’t have a way to block specific artists right now, but we’ve passed your suggestion along to the team. Thanks for the feedback!",4,4,5,2,3,"The reply is friendly and correctly states the limitation, but it fails to provide the specific community link or concrete next step (voting/supporting the idea) found in the reference and evidence, making it less actionable.",True
46,agent,"Hey! Spotify doesn’t have a built‑in daily auto‑play timer. If it’s starting on its own, it might be a device alarm or a third‑party shortcut. Check your phone’s settings or any automation apps. /LM",1,2,4,3,1,"The candidate invents specific technical explanations and troubleshooting steps (device alarms, third-party shortcuts) that are not present in the provided evidence or reference, which strictly requests device and OS information to diagnose the issue.",True
47,agent,Hey! Sorry for the mix‑up. Please DM us your account email/username so we can sort out the double charge and get you on the right plan. /KB,5,5,5,5,5,"The reply accurately reflects the reference's instruction to move the conversation to DMs for account verification, maintains a friendly and concise tone, and provides a clear next step without inventing policies.",True
48,agent,Hey! A sleep timer would be awesome. You can suggest it here: /RS 💚,5,5,5,5,5,"The candidate reply accurately reflects the reference intent and evidence by directing the user to the suggestion link with a friendly, concise tone.",True
49,agent,"We hear you—sudden volume jumps can be annoying. Try checking your device’s volume sync settings in the app and make sure “Normalize volume” is on. If it persists, let us know!",1,2,4,3,1,"The candidate invents specific technical troubleshooting steps ('Normalize volume', 'volume sync settings') that are not present in the provided evidence or reference, which only acknowledges the feedback and promises to pass it to developers.",True
50,agent,We hear your feedback about the ads and appreciate you sharing your thoughts. We'll pass this along to the team. Thank you for helping us improve!,2,2,4,1,2,"The reply is polite but fails to request the specific evidence (link) required by the reference to investigate the issue, making it unactionable and incorrect for resolving the complaint.",True
51,agent,Sorry you’re experiencing crashes! Please DM us your Spotify username or email so we can investigate further. #WeGotYou,5,4,5,5,4,"The reply is grounded in the evidence (requesting DM for username/email), has an excellent tone, and provides a clear next step, though it slightly deviates from the reference's initial troubleshooting approach by jumping straight to account verification.",True
52,agent,"Hey! That sounds like a notification glitch. Try turning off ""Show notifications"" for Spotify in your phone settings, then restart the PC app. Let us know if it persists!",1,2,4,3,1,"The candidate invents specific troubleshooting steps ('Show notifications', 'restart PC app') that are not present in the provided evidence or reference, which instead asks for diagnostic information (OS/version) to investigate the issue.",True
53,agent,Hey there! Thanks for the idea – we’ll pass your Bluetooth‑pause suggestion on to the team. Stay tuned! /GU,5,4,5,3,4,"The reply is grounded in the provided evidence (GU) and maintains a friendly tone, but it is less actionable than the reference reply which directs the user to the Community forum.",True
54,agent,Hey there! We’ve sent you a DM with steps to recover your account. Please check your inbox and let us know if you need anything else. /DM,2,2,4,3,2,"The candidate invents a specific action ('sent you a DM with steps') that is not supported by the evidence or reference, which instead asks for account details to investigate the issue.",True
55,agent,"Hey! We don’t have an official launch date for Romania yet, but we’re expanding to new markets regularly. Stay tuned for updates! 🎧",4,4,5,2,4,"The reply is friendly and grounded in the general expansion policy mentioned in the evidence, but it lacks the specific actionable step (providing the email link) present in the reference reply.",True
56,agent,Hey! Can you DM us your account email or username? We’ll look into the Hulu authorization issue and get it sorted for you. /AR,5,5,5,5,5,"The reply accurately reflects the reference and evidence by requesting the necessary account details via DM to investigate the specific issue, maintaining a friendly and concise tone.",True
57,agent,Hey! We hear you—mixtapes are on our radar. We’ll pass the request along to the right team. Thanks for the love! 🙏,2,2,5,1,2,"The candidate invents a policy ('on our radar', 'pass the request along') not supported by the evidence and fails to provide the specific information link (/DF) that the reference reply correctly offers.",True
58,agent,"Sorry about the ad glitch! Try clearing the app cache or reinstalling, and make sure your OS and Spotify app are up‑to‑date. Let us know if it keeps happening. /RH",2,2,4,3,2,"The reply invents troubleshooting steps (clearing cache/reinstalling) not found in the evidence or reference, and fails to ask for the critical diagnostic information (device, OS, version, screenshot) required to resolve the issue.",True
59,agent,"Hi! To lock in the $99 yearly rate, go to Settings → Account → Subscription and select the yearly plan before 12/31. Let us know if you need any help! 🎧",1,1,4,2,1,"The candidate invents specific navigation steps and policy details that are not present in the evidence or reference, whereas the correct procedure requires the customer to DM their email address for manual review.",True
60,agent,"Try clearing your browser cache or opening the web player in incognito mode. If that doesn’t help, restart your device and try again. Let us know how it goes! /JM",5,5,4,5,5,"The reply is fully grounded in the provided evidence and reference, correctly addresses the web player issue with actionable steps, and maintains a helpful, concise tone suitable for the platform.",True
61,agent,"Try tapping the three‑dot menu on the playlist, then select “Remove from Your Library.” If it still shows “Loading…,” give it a moment and try again or restart the app. Let us know if it helps!",1,2,4,3,1,"The candidate invents specific troubleshooting steps ('three-dot menu', 'Remove from Your Library') that are not present in the provided evidence or reference, which instead requests device and version information to diagnose the issue.",True
62,agent,Hey! At the moment we don’t support Google Play Wallet for monthly payments. You can keep using your existing payment method in the app. Thanks for the suggestion! 🎶,2,2,4,2,2,"The candidate invents a specific policy denial ('we don't support') and fails to provide the actionable voting link present in the reference, making it ungrounded and less helpful than the actual brand response.",True
63,agent,Hey! Sorry you’re stuck. Please DM us your account email/username so we can verify your family invite and get your Premium back. 😊,5,5,5,5,5,"The reply is concise, friendly, and correctly directs the customer to DM their account details for verification, aligning perfectly with the reference and evidence without inventing policies.",True
64,agent,Hey! We can help update your country and payment info. Please DM us your account email (or username) so we can take a look backstage. 🙂,5,5,5,5,5,"The reply accurately reflects the reference and evidence by requesting the necessary account details via DM to investigate the issue, maintaining a friendly and concise tone.",True
65,agent,"Sorry to hear the shuffle isn’t working right for you. Try restarting the app and clearing the cache, then give shuffle another go. If it still repeats, let us know and we’ll dig deeper!",1,1,4,2,1,"The candidate invents technical troubleshooting steps (restarting app, clearing cache) that are not present in the evidence or reference, and fails to address the core issue of the algorithm improvement mentioned in the reference.",True
66,agent,Hey! Sorry you’re stuck. Please DM us your account email so we can look into the payment issue and get you back on Premium. Thanks!,5,5,5,5,5,"The reply is concise, friendly, and accurately requests the necessary account details via DM to resolve the payment issue, aligning perfectly with the reference and evidence.",True
67,agent,Hey! We’re sorry if “Perfect Velvet” isn’t showing up yet. It may not be in our catalog or available in your region. Keep an eye on the app—new titles get added regularly!,2,2,4,2,2,"The candidate invents specific reasons (catalog/region) and promises ('new titles get added regularly') that are not supported by the evidence or reference, failing to provide the specific resource link (/KM) that the reference reply correctly utilized.",True
68,agent,Hey! Sorry to hear about the trouble. Please DM us your account email or username so we can check why the student verification and Hulu link aren’t working. We'll sort it out!,5,5,5,5,5,"The reply is concise, friendly, and accurately requests the necessary information (email/username) to investigate the issue, aligning perfectly with the reference and evidence without inventing unsupported details.",True
69,agent,Hey! That sounds like a phishing attempt. Spotify never asks for password changes via email links. Always change your password directly in the app or on our official site. Stay safe!,1,1,4,2,1,The candidate invents a security policy not present in the evidence and fails to follow the reference's instruction to request account details and a screenshot for verification.,True
70,agent,Sorry the web player’s giving you trouble! Can you share any error messages or a screenshot so we can investigate?,5,4,5,5,4,"The reply is grounded in the evidence (asking for errors/screenshots), has a perfect tone, and provides a clear next step, though it misses the specific context of the 'hiccup' mentioned in the reference reply.",True
71,agent,Hey! We get it—interludes can be a surprise in Daily Mixes. We’ve passed your feedback to the team. Thanks for helping us improve! 🎧,4,5,5,4,5,"The reply is friendly, concise, and correctly conveys that the feedback has been passed to the team, aligning with the reference's intent without inventing specific policies or false promises.",True
72,agent,Thanks for the idea! We’ve passed your suggestion for playlist‑specific shuffle settings along to the team. Stay tuned! 🎧,2,3,4,2,2,The candidate invents a promise to 'pass the suggestion along' which is not supported by the evidence (which suggests voting on an official idea) and fails to provide the concrete next step (voting link) present in the reference.,True
73,agent,Sure! In the app go to Settings → Account → Switch to Premium and choose the yearly plan. It’ll prorate any remaining time. Need more help? DM us your email!,1,1,4,2,1,"The candidate invents specific UI steps and a 'proration' policy that are not present in the evidence or reference, which instead requires the agent to request account details via DM to investigate.",True
74,agent,"Hey! We love your enthusiasm, but we can’t add or change cover art on Spotify. Keep an eye on updates—who knows what’s coming next! 🎶",2,2,4,1,2,"The candidate invents a specific policy ('can't add or change cover art') not present in the evidence or reference, fails to provide the requested resource link, and offers no concrete next step, making it ungrounded and unactionable despite a friendly tone.",True
75,agent,Hey! Sorry to hear some tracks are missing. Please DM us with the account email/username and the song details so we can look into restoring them. Thanks!,2,2,4,3,2,"The candidate invents a specific process (DM for restoration) and promise ('look into restoring') that are not supported by the evidence or reference, which indicates a content availability issue rather than a technical glitch.",True
76,agent,"Your account works worldwide, but some songs may be unavailable in certain regions due to licensing. If you hit a missing track, try again later or check if it’s available in your home country. /TF",2,2,4,3,2,"The candidate invents a policy about worldwide account access and specific troubleshooting steps ('try again later') that are not supported by the provided evidence, which focuses on licensing removals, and fails to follow the reference's instruction to request account details for investigation.",True
77,agent,"Hey! For artist‑profile issues like separating identical names, reach out to your distributor—they’ll coordinate with our team to sort it out. 🎶",5,5,5,5,5,"The reply accurately reflects the reference solution, maintains a friendly and concise tone suitable for Twitter, and provides a clear, actionable next step for the customer.",True
78,agent,"Hey! Blocking specific artists isn’t possible right now, but you can share your idea with the community here: https://community.spotify.com/t5/Ideas/blk/idi-12345",2,4,5,4,3,"The reply is friendly and correctly conveys that the feature is unavailable, but it invents a specific URL that is not present in the provided evidence, which violates the groundedness constraint.",True
79,agent,Hey! We’re sorry for the confusion. Please DM us your account email so we can check why the payment was flagged and get it sorted for you. /RI,5,5,5,5,5,"The reply is concise, friendly, and correctly requests the necessary information (email) to investigate the issue, aligning perfectly with the reference and evidence without inventing policies.",True
80,agent,"Sure thing! To edit your bio, go to your profile, tap “Edit Profile,” then update the bio text and save. Let us know if you need any more help!",1,1,4,2,1,"The candidate invents specific UI steps ('Edit Profile') that are not present in the provided evidence or reference, and fails to address the likely technical issue (display bug) that the reference reply investigates.",True
81,agent,Hey! That sounds off. Please DM us your account email/username so we can check why you got that £9.99 confirmation and sort it out. 😊,5,5,5,5,5,"The reply is grounded in the evidence (requesting email/username), correctly advances the issue by asking for verification details similar to the reference, maintains a friendly and concise tone, and provides a clear next step.",True
82,agent,"We love hearing ideas! 🎧 While we don’t currently support user‑generated translations, we’ll pass your suggestion along. Thanks for sharing!",4,5,5,3,4,"The reply is friendly and correctly handles the feature request by acknowledging it and promising to pass it along, matching the reference's intent, though it lacks the specific closing warmth of the reference and offers no further concrete steps.",True
83,agent,Hey! Sorry to hear that. Please DM us your account email or username so we can look into the charge and get this sorted. Thanks!,5,5,5,5,5,"The reply accurately reflects the reference and evidence by requesting the account details via DM to investigate the billing issue, maintaining a friendly and concise tone suitable for the platform.",True
84,agent,Hey! We love hearing ideas like adding full credits and history to album pages. I’ve passed your suggestion along to the team. Thanks for sharing! /NY,4,4,5,2,3,"The reply is friendly and grounded in the evidence (passing feedback to developers), but it fails to provide the specific, actionable next step (linking to the Community) that the reference reply offers, making it less effective for a feature request.",True
85,agent,Hey! We’re working on launching in new countries as often as possible. Keep an eye on our updates and add your email at /GK to stay informed. Thanks for the love! 🇿🇦,5,5,5,5,5,"The reply accurately reflects the reference information, maintains a friendly and concise tone appropriate for the platform, and provides the specific actionable link found in the evidence.",True
86,agent,We’re sorry you’re feeling unheard. Could you share more details so we can help?,5,2,4,3,2,"The reply is polite and grounded in general support practices, but it fails to address the specific issue (the discount eligibility) identified in the reference reply, instead asking for details that the reference indicates are already known or irrelevant to the policy constraint.",True
87,agent,"We hear you! While we don’t have a #NeverPlay rule yet, you can hide songs or artists you don’t want to hear. We’ll pass your suggestion along. Thanks for the feedback! 🙏",2,3,5,3,3,"The reply invents a specific feature ('hide songs or artists') that is not present in the provided evidence or reference, violating groundedness, though the tone is appropriate and the general sentiment aligns with the reference.",True
88,agent,Hey! Thanks for the idea – we’ll pass your Apple Watch Series 3 streaming suggestion along to the team. Stay tuned!,2,2,4,1,2,"The candidate invents a promise to 'pass the suggestion along' which is not supported by the evidence or reference, and fails to provide the concrete next step (voting on the official idea) required to resolve the request.",True
89,agent,"Hey! If “Hello” by Seventeen isn’t playing, it might not be in our catalog in your region yet. You can check the song’s page for availability info or request it via the app. Hope that helps! /NS",2,3,4,3,2,"The candidate invents specific troubleshooting steps (checking song page, requesting via app) that are not present in the provided evidence or reference, and fails to provide the specific link (/JT) that the reference reply used to address the content availability issue.",True
90,agent,Hey! Students can enjoy a 30‑day Premium trial if they meet eligibility. Check the Student offer in your account settings and follow the prompts to activate it. Let us know if you need more help!,1,1,4,2,1,"The candidate invents a specific policy and self-service step ('Check the Student offer in your account settings') that is not supported by the evidence or reference, which instead requires a manual backstage check via DM.",True
91,agent,Thanks for the idea! We love hearing how you’d like to use Spotify. We’ll pass your suggestion along to the team. 🎧,2,2,4,1,2,"The candidate invents a promise to 'pass the suggestion along' which is not in the evidence or reference, and fails to provide the concrete next step (submitting to the Community) required to resolve the request.",True
92,agent,"Hey! We don’t have any details on upcoming iPhone X optimizations right now, but we’ve passed your feedback along. Thanks for sharing!",5,5,5,4,5,"The reply accurately reflects the reference information, maintains a friendly and concise tone suitable for Twitter, and effectively communicates that the feedback has been passed along, which is the primary action available in this scenario.",True
93,agent,Sorry about the trouble! Make sure the email address is entered correctly in the Family invite and that the recipient checks their spam folder. You can also resend the invite from Settings → Family. Let us know if it still won’t send!,1,2,4,3,1,"The candidate invents specific troubleshooting steps (spam folder, settings path) not found in the evidence or reference, and fails to follow the reference's instruction to request account details via DM to investigate the issue.",True
94,agent,Hey! Sorry to hear your playlist got shuffled. Please DM us your account email so we can look into it and help restore your tracks. Thanks!,2,1,4,3,2,The candidate invents a 'restore' promise and misdiagnoses the issue as a shuffle rather than the standard Free tier suggested tracks behavior explained in the reference.,True
95,agent,"Hey! The Beta program lets us test new features before they roll out to everyone. We’re always working to improve the app for all devices, including iPhone X. Thanks for the feedback!",2,2,4,1,2,"The reply invents a policy about testing new features not present in the evidence and fails to address the customer's specific concern about optimization, offering no actionable next steps.",True
96,agent,"Hey! That track isn’t in our catalog yet, so we can’t add it right now. Keep an eye on the app – new releases show up as they become available. Thanks for supporting the artists!",2,2,4,2,2,"The candidate invents a specific policy ('isn't in our catalog yet') and a mechanism ('new releases show up') that are not supported by the evidence, which explicitly states the Curation team is independent and the support agent has no info on the matter.",True
97,agent,"Hey there, that sounds frustrating! Try logging out, restarting the app/device, then logging back in. Let us know if it improves. /MX",5,4,5,5,4,"The reply is grounded in the provided evidence (specifically the troubleshooting steps in /MX), maintains a friendly and concise tone, and offers actionable advice, though it is slightly less direct than the reference which simply confirms the issue is resolved.",True
98,agent,"Hey! Our web player might be experiencing hiccups. Try refreshing, clearing your browser cache, or checking back in a bit. Let us know if it’s still not loading!",2,3,4,4,3,"The reply invents specific troubleshooting steps (clearing cache) not found in the evidence or reference, and fails to confirm the issue is resolved on the brand's end as the reference does, though the tone and general advice are acceptable.",True
99,agent,Sorry to hear that! Please DM us your account email or username so we can investigate the login change and restore your library and Premium.,4,5,5,5,4,"The reply is excellent in tone and actionability, correctly asking for the necessary information to investigate, but it slightly over-promises by explicitly stating the goal is to 'restore' the library and Premium, which is a specific outcome not guaranteed in the reference or evidence (which only p",True
100,agent,Hey! We can help with your username. Please DM us your account email or current username and we’ll look into it for you. /DM,5,2,5,4,2,"While the tone and request for DM details are grounded in the evidence, the reply fails to address the customer's specific question about why they cannot change their username, instead pivoting to a generic troubleshooting flow that contradicts the reference's direct explanation that usernames are n",True
