sheet_id,golden_id,system,customer_text,reference_reply,candidate
H013,119,nn,experiencing low quality audio on Win10 desktop app thru premium acct: set to HQ but distorting like 128kbps. Any ideas?,"Hey Ryan, help's here! Can you let us know the device and Spotify version you're using? We'll see what we can suggest /GK","Hey Cameron, help's here! You can change the audio quality by following: Let us know how it goes 😁 /ND"
H014,55,agent,"i heard that spotify is supposed to release in romania today,is it true?",We're launching in new countries as often as possible. Be sure to add your email at /MX,"Hey! We don’t have an official launch date for Romania yet, but we’re expanding to new markets regularly. Stay tuned for updates! 🎧"
H015,33,canned,get more ben fankhauser stuff,"Hey there! We’d love to have all of his stuff available, but we have some info about content here: /GK",Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H016,144,agent,does not give me permission to log in cause i deactivated Facebook account . WTF,"Hey, help's here! Can you DM us your account's email address? We'll check backstage /GK","Hey! If your Facebook account was deactivated, you’ll need to log in with your email/username instead. Please DM us your Spotify email or username so we can help you reset access. /RV"
H017,57,agent,get mixtapes please 🙏,Hey! We’ve got some info about mixtapes here: /DF,Hey! We hear you—mixtapes are on our radar. We’ll pass the request along to the right team. Thanks for the love! 🙏
H018,99,agent,"I was logged out of spotify, when I logged back in my username was replaced with a bunch of numbers, all of my library and playlists were gone and premium was also gone, this also reactivated my facebook which was not linked, please help","Hey there, that doesn't sound right! Could you DM us your Spotify account's email address? We'll take a look under the hood /BH",Sorry to hear that! Please DM us your account email or username so we can investigate the login change and restore your library and Premium.
H019,105,nn,Is Hypnotoad on yet?,"Hey! We’d love to have ALL the GLORY of HYPNOTOAD available, but we have some info about content here: /QI","Hey Scotty, what platform/device are you using the app on? Give a reinstall a go: /C"
H020,100,agent,"new to Spotify, why is this my username and why can't I change it?!","Hi there! Right now, it's not possible to choose a username at sign-up, but you can add a display name instead. Other Spotify users will see this name when they visit your profile. Let us know if you have other questions /GK",Hey! We can help with your username. Please DM us your account email or current username and we’ll look into it for you. /DM
H021,82,nn,hope you'd have afeature of translating songs by letting listeners or your team do it. Found a myanmar song but can't understand it,Hey there! Thanks for your feedback. We'll make sure this gets passed on. Have a good day 🙂 /DB,"Yup! If you have other questions, you know where to reach us /RA"
H022,60,agent,Is the web player down right now? Just getting a black screen or the login screen...,"Hey, that's odd! Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us know how it goes /KL","Try clearing your browser cache or opening the web player in incognito mode. If that doesn’t help, restart your device and try again. Let us know how it goes! /JM"
H023,97,nn,Hey why are you loadinggggg ? I’m dying at work over here,Hey Kim! Everything should be running smoothly now. Let us know if this is still happening /GS,"Hey Cyril, help's here! You can find more info about Spotify on Xbox One here: /BX"
H024,17,canned,Hi! Continual beeping happens when I go into Windows Desktop App so can't listen to music.When I try&uninstall it won't let me,Hi Vicki! Help's here. Can you try restarting your computer to see if it makes a difference? /MU,Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H025,23,agent,"why do my downloaded albums keep being undownloaded? Samsung S7, upto date Android.",Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /DR,"Hey! Try clearing some space and make sure Spotify can run in the background. Also, tap Settings → Music → Download quality and re‑download the albums. Let us know if it helps! /RC"
H026,25,canned,"I am trying to add information to my account. But when I press save changes, it gives me a warning that my email is already in use and doesn't save the changes.","Hey Jennifer! That doesn't sound good. Can you DM us with your account's current email address, along with the email address you'd like to change it to? We'll take a look backstage /QI",Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H027,83,agent,I was charged the normal rate when I've had the student rate for 2 years.,Hi there. Can you DM us your account's email address? We'll take a look backstage /LM,Hey! Sorry to hear that. Please DM us your account email or username so we can look into the charge and get this sorted. Thanks!
H028,70,agent,Your web player fucking blows.,"Hi there, thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS",Sorry the web player’s giving you trouble! Can you share any error messages or a screenshot so we can investigate?
H029,120,agent,what kind of ad??? why is it 2 hours??,Hey there! Can you let us know what the ad's playing? We'll take a closer look /PK,"Hey! Sorry about the long ad. Ads can vary, but 2 hours sounds off. Could you share the device and app version you’re using? We’ll look into it."
H030,81,nn,hi i just had a text from you to say i need to confirm my subscription of £9.99 per month when I didn't sign up? it looks legit,Hi Laura! Could you DM us a screenshot of that text and the best email address we can contact you on? We'll take a look /NJ,Hey there! The cavalry's here. Can you DM us your account's email address or username? We'll take a look under the hood /KB
H031,12,agent,It’s been 10 days since the iPhone X released and still hasn’t updated its app to support the screen size. C’mon man.,Hey! We’re working on it as we speak. Stay tuned for any updates /YM,"Hey! We hear you – app updates for new devices are on our roadmap. Thanks for the heads‑up, we’ll pass this along to the team. /KB"
H032,9,agent,Can't connect! Neither on Wi-Fi or Network data!,"Hey, thanks for the report. We had a little hiccup earlier but everything should be running just fine now. Let us know if not! /LP","Sorry you’re having trouble connecting. Please DM us your account email/username so we can investigate. If you haven’t already, try a clean reinstall of the app. /DD"
H033,75,agent,put back the songs on by netnobody or contact him. This is inexcusable,"Hi there! We’d love to have all of their stuff available, but we have some info about content here: Give us a shout if you need anything else /WW",Hey! Sorry to hear some tracks are missing. Please DM us with the account email/username and the song details so we can look into restoring them. Thanks!
H034,39,canned,you really released a new update but didn’t update your app for iPhone X? Apple Music sounding better and better all the time 💁🏻‍♂️💁🏻‍♂️💁🏻‍♂️,Hey Brandon! We understand - we’re working on it as we speak. Stay tuned! /BH,Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H035,117,agent,i try to upgrade my account to premium version using phone credits as my paymemt method. My phone credit was cutted but my account wasn't got upgrade. Pls help. Thanks!,Hey Stephanie! Help's here. Can you DM us your account's username and email address? We'll check backstage /JL,Hey! Sorry to hear the upgrade didn’t go through. Please DM us your account email or username so we can sort it out for you. /
H036,58,nn,"hey there I am having problem on my app, the advertisement just keep popping out and I could not close it, until I kill the app and boot again, the problem continue happening","Hey, the cavalry's here! What's the exact device, operating system, and Spotify app version you're using? Can you also send over a screenshot of the ad you're getting? We'll do our best to help out /NJ","Hmm. Are there any updates available for your operating system? If so, does updating help? Keep us in the loop /GU"
H037,14,canned,hi just wanted to ask when will Perfect Velvet come out on Spotify?,"Hey! We don't have any info on this yet. Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /MO",Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H038,150,nn,"Hi, I’ve just bought Spotify premium but I’ve received two receipts, does this mean I’ve been charged twice?","Hey Shannon, help's here! Could you DM us with your account's email address and username? We'll take a look backstage /TB",Hi there! We've just sent a DM your way. Let's carry on chatting there /AK
H039,65,nn,your shuffle sucks. This is on a playlist with 350+ songs. I have probably 10 songs by Betty Who and four in a row on a playlist of this many songs should never happen. This is not the first time this has happened. Please fix your shuffle. I’m sick of it,Hey Emily! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /RS,Hey there! This doesn't sound good. What issues are you having and on what device? We'll see what we can suggest 🙂 /CG
H040,86,agent,"please review this complaint, there are thing being said that you guys aren’t bothering to read,","Hey! Rest assured that we're taking all feedback into consideration, but we're afraid the discount is currently only available to users who are actively in term at their college/university. We're aiming to get every school on board, so keep checking our website for updates 🙂 /MA",We’re sorry you’re feeling unheard. Could you share more details so we can help?
H041,24,nn,They add Cakes new album on Spotify but a bitch still waiting on Beyoncé’s lemonade album come on,"Hey Henny! We're working on it, and we hope to have it available soon. There's more info here: /DD","Hey Elle! We're working on it, and we hope to have it available soon. There's more info here: /RV"
H042,8,agent,"Hello, can you please help? I have lost my debit card therefore cancelled it. And obviously my Spotify payment hasn't gone through how do I update the details when my new debit card comes through? Can I do it on the app?",Hi! Help's here. You can find out more info on updating your payment details here: Let us know if there's anything else we can help with /SV,Hey! You can update your card in the app: Settings → Account → View plan → Update payment method. Or use the web player’s account page. Let us know if you hit any snags!
H043,118,agent,where the frick is your sleep timer!?!? #FirstWorldProblems,"Hey Kristina! A sleep timer is a great idea. Help make it happen by adding support here: If you need anything else, just shout and we'll come running 🏃 /PK",Hey! We hear you—sleep timer is a popular request. You can upvote it here: /RS. Thanks for the feedback! 💚
H044,38,agent,You guys should collab with to make a snap filter that displays what song the device is currently streaming on #Spotify,Hey Richard! We can see how that’d be useful! You can vote for the official idea here: /JX,Great idea! We'll pass your suggestion along to the team. Thanks for the creative input! 🎧
H045,22,nn,"The Spotify web player is not working in Google Chrome. Sends me to a ""Bad Request"" page.",Hi Charlie! We're here to lend a hand. Does clearing your browser's cache/cookies help? /CP,Hey Amy! What's happening exactly? Can you tell us what device and operating system are you using? We'll lend a hand /SY
H046,137,nn,"hai , mau nanya nih, akun spotify saya kok ga bisa login pas diluar negeri ya?? ada notifikasi kalau harus masukin lokasi gitu diwebsitenya.. bisa dibantu untuk penjelasannya ? thanks :)","Hey Yudhy! We can help out in English via Twitter, but we also have Indonesian support via email at /FR",1: We have Indonesian support via email at but we can also help in English via Twitter. If you'd like...
H047,132,nn,"can't log in, cant log in to post a customer service post about not being able to log in. nice.","Hey there, help's arrived! Could you DM us your account's username or email address? We'll see what we can suggest /RE","Hi! Yes, don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? /DR"
H048,91,agent,if made a feature where you could listen to what the people around you are listening to that would be so amazing to me,"Hey Sara, this sounds like a great idea! Suggest it in our Community at and get support from other users 🙂 /CH",Thanks for the idea! We love hearing how you’d like to use Spotify. We’ll pass your suggestion along to the team. 🎧
H049,88,nn,How bout you acquire streaming to the #AppleWatchSeries3,"Hi, thanks for reaching out! Check out the official idea and add your vote to let our devs know it's something you'd like to see: 😉 /GT","Hey there, that's not cool! Here's some more info about it: If you need anything else, just give us a shout /PX"
H050,141,agent,Is there a way to combine playlists on without having to drag each individual song? #help,"Hey there! This isn't possible right now, but you can select all songs by pressing Ctrl + A then click and drag it to your playlist /KL","Hey! You can merge playlists by selecting a playlist, tapping the three‑dot menu, choosing “Add to another playlist,” and picking the target playlist. Do it for each playlist you want to combine. 🎧"
H051,115,agent,why it says like that? Solution please,"Thanks for the info. If you're trying to join a family plan, can you DM us your username or email address? We'll take a look backstage /PC",Hi! Could you share a bit more detail or a screenshot of what you’re seeing? That’ll help us figure out the best solution. Thanks!
H052,74,agent,"I need the cover of The Chain to be available on , someone make this happen pls","Hey Hannah! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /MS","Hey! We love your enthusiasm, but we can’t add or change cover art on Spotify. Keep an eye on updates—who knows what’s coming next! 🎶"
H053,37,canned,how long does it take you to get a new song on?? This is frustrating been with you since 2013 and getting bored of this 😴 #boame,Hey! Some licensing agreements can affect music availability. More info here: Let us know if you need more help /NY,Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H054,67,agent,i’m going to school if perfect velvet isn’t on your app by the time i get home,"Fingers crossed we'll be able to have it to you soon, but there's info about Spotify content here: /KM",Hey! We’re sorry if “Perfect Velvet” isn’t showing up yet. It may not be in our catalog or available in your region. Keep an eye on the app—new titles get added regularly!
H055,104,agent,Will Android ever get the swipe on the track ability to queue or add to saved music option? I would love it and so would a ton of others! Makes it easy to add in the car.,Hey there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ,Hey! Thanks for the idea – we love hearing how we can improve Android. Share it in our Community and the team will see it. 🎧 /LO
H056,71,nn,should know which songs are interludes...stop putting them on daily mixes thx,Hey Madison! We'll let the right folks know it's something you'd like to see. Let us know if there's anything else we can help you with /BH,We hear you loud and clear Steph! Thanks for the feedback! It's music to our ears 🎶 /DF
H057,109,agent,"Im trying to add a new account to my family account but it says the account is allready registered with facebook, however when i click the login with facebook button it says there's the facebookaccount is not registered with spotify","Hey Kris, help's here! Could you send us the account's email address via DM? We'll take a look and see what we can suggest 🔍 /DB",Hey! It sounds like a Facebook‑login mix‑up. Please DM us your Spotify email/username so we can sort it out and get your family member added 😊
H058,107,agent,"can you please make it so that I can save more music to my account... for real... my collection isn't even that epic... I just listen to like 34093240983 things... I'll pay for that service, additionally. #MakeItHappen 👁️👁️","We hear you! We’d love to see your vote, and hear your feedback on this idea: In the meantime, just give us a shout if we can help you with anything else /DR",We hear you! 🎧 Your request to expand saved music limits has been passed to the team. Thanks for the suggestion – we’ll keep you posted on any updates. #YourFeedbackMatters
H059,6,canned,Spotify doesn't have the new Sufjan Steven songs and I'm just like...,Hey there! Are you looking for a specific song/album from Sufjan Steven? Can you also let us know which country you're currently in? /MA,Sorry to hear that! Can you send us a DM with more details so we can take a closer look?
H060,77,nn,as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,Hi! We’d recommend reaching out to your distributor/aggregator. They'll work with our team to make sure this gets fixed up /DN,Hey there! We've just sent a DM your way. Let's carry on chatting there /RA
