golden_id,pair_id,customer_tweet_id,customer_text,reference_reply,intent,should_escalate,escalation_reason,notes
16,36115,2909843,Why doesn’t have a help number?!?,Hey Alex! We currently don't offer phone support but are more than happy to help you out here. Can you tell us what's going on? /TF,other,True,ambiguous,"Asks why there is no support phone number. No product issue is stated, so the intent is other; the reason is ambiguous rather than human_requested because the message complains about a channel without actually asking for a person - the same reading given to the '#notelephonesupport' jab in row 125. Weak label agrees on intent."
17,19202,1422430,Hi! Continual beeping happens when I go into Windows Desktop App so can't listen to music.When I try&uninstall it won't let me,Hi Vicki! Help's here. Can you try restarting your computer to see if it makes a difference? /MU,app_bug,False,none,Windows desktop client beeps continuously and will not uninstall. Weak label agrees.
18,17348,2512959,"Hey I see you're in Indonesia and Singapore.... India is just a couple of hours away, come visit, you'll like it here.. 🙂",Hey there! We're launching in new countries as often as possible. Be sure to add your email at /NS,content_availability,False,none,Country-launch request (India). The taxonomy merges country launches into content_availability; the brand's reply is the launch-mailing-list answer. Weak label said other; disagree.
19,35671,2867776,super ridiculous that I have to make a twitter account to tech support. please DM asap in regards to an account that no longer should be being billed,"Hey David, sorry you feel that way. We're unable to send you a DM, so would you mind sending us one with info on the issue you're having? Just click on the link below /RH",billing_and_refund,True,human_requested,"Still being billed after cancelling AND explicitly asks the brand to DM. The explicit human/DM request outranks the money reason in the guide's ordering. The opening jab is frustration, not abuse."
20,25377,2276265,why did you bump me off my family account. I live with my family I am just on vacation. Put me back please,"Hi Bernice, that doesn't sound good! Can you DM us your account's email address or username? We'll see what we can do /GT",subscription_plan,True,needs_account_access,Removed from a family plan; account state. Weak label agrees.
21,31014,2751318,if I’m paying $10.68/month can y’all at least get the rights to Lemonade,"Hey! We're working on it, and we hope to have it available soon. There's more info here: /CE",content_availability,False,none,WEAK-LABEL TRAP. The price is rhetorical framing; the actual ask is to license an album. Weak label said billing_and_refund on '$10.68' and 'paying'; disagree - no charge is disputed.
22,21712,1695220,"The Spotify web player is not working in Google Chrome. Sends me to a ""Bad Request"" page.",Hi Charlie! We're here to lend a hand. Does clearing your browser's cache/cookies help? /CP,app_bug,False,none,Web player returns Bad Request in Chrome; brand suggests clearing cache. Weak label agrees.
23,24463,2225668,"why do my downloaded albums keep being undownloaded? Samsung S7, upto date Android.",Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /DR,library_playlist_issue,False,none,Downloaded albums keep un-downloading - the customer's own saved content; brand links the 'Downloads unexpectedly removed' article. Weak label said app_bug on the device words; disagree.
24,24402,2215894,They add Cakes new album on Spotify but a bitch still waiting on Beyoncé’s lemonade album come on,"Hey Henny! We're working on it, and we hope to have it available soon. There's more info here: /DD",content_availability,False,none,"Catalogue gap. 'a bitch' is self-referential AAVE, not abuse aimed at staff - not labelled abusive."
25,32439,649925,"I am trying to add information to my account. But when I press save changes, it gives me a warning that my email is already in use and doesn't save the changes.","Hey Jennifer! That doesn't sound good. Can you DM us with your account's current email address, along with the email address you'd like to change it to? We'll take a look backstage /QI",account_access,True,needs_account_access,"Cannot save a new email: it is already in use on another account. An identity/ownership problem, not a client bug, and the brand asks for both addresses in DM. Weak label said other; disagree."
26,32408,642123,loving the new album but Low Key and Loose Change are cut short on . Anyway you can contact ?,Hey there! Can you send us the Song Links for both tracks? Just tap the three dots > Share > Copy Link. Keep us posted /LM,content_availability,False,none,"Two tracks are truncated for everyone - a bad master in the catalogue, so content_availability rather than playback_issue; the brand asks for song links, which is the catalogue-report flow."
27,32382,639958,why is acid rap not on ??? 🙃 lil chano pls,"Hey there! We’d love to have all of his stuff available, but we have some info about content here: /JP",content_availability,False,none,Catalogue gap. Weak label said other; disagree.
28,32092,619734,how do i cancel my spotify?,"Hey, help's here! Can you DM us your account's email address? We'll see what we can suggest /GK",subscription_plan,True,needs_account_access,'How do I cancel' is phrased as a how-to but is an account operation - tie-break 5. Brand asks for the account in DM. Weak label agrees.
29,33466,145942,"When will you step up and be available in Serbia, I’m trying to catch up with BTS.","Hey Joseph! We're afraid we don't have much info on this, but we're launching in new countries as often as possible. Be sure to add your email at to be first to hear when we've reached you /AY",content_availability,False,none,Country launch (Serbia). Weak label said other; disagree.
30,38132,447869,"Hi, I am unable to login on the web player! I am on Chrome and I have mac os high sierra :(","Hey! Do you get an error message when trying to log in? If you do, can you send us a screenshot of it? /SJ",account_access,True,needs_account_access,"Cannot log in to the web player. Brand asked for a screenshot in-thread rather than DMing, but account_access always escalates - no agent can verify a login without the account."
31,25224,2275397,"Hey and , why did you cancel my Hulu premium student subscription through Spotify? I no longer have access to Hulu through my Spotify account!",Hi Jordan! Help's here. Can you DM us your account's username or email address? We'll check things backstage /MU,subscription_plan,True,needs_account_access,Hulu bundle attached to a student plan was cancelled; plan state. Weak label agrees.
32,23903,2183097,it’s been three days....still haven’t answered DMs,Hey! We've just replied to your DM. We'll carry on chatting there /K /K,other,True,human_requested,"Chasing an unanswered DM thread: no content to act on, and a human already owns the conversation, so human_requested rather than ambiguous. Labelled the same way as row 114. Weak label agrees on intent."
33,23006,2095076,get more ben fankhauser stuff,"Hey there! We’d love to have all of his stuff available, but we have some info about content here: /GK",content_availability,False,none,Terse catalogue request ('get more <artist> stuff'). Weak label said other; disagree - the ask is clear enough.
34,37647,2976797,"yo, I’ve closed the app, restarted my phone, even logged out but old mate in the red keeps popping up. All details are correct because I went, checked & fixed it up. Also thE photos where taken within ten minutes of each other. I had to crop cause personal details.",Hey! Can you DM us your account's email address or username? We'll take a look backstage /RH,account_access,True,needs_account_access,Cryptic: another person's profile keeps appearing despite re-login and corrected details. Account identity problem; the brand needed the account. Weak label agrees.
35,39001,510519,"got a Spotify update today on Windows 7, now the client doesn't open. Missing DLLs. CANT UNINSTALL. Reinstalling didn't solve. I'M SO MUCH TRIGGERED","Hey there! Don't worry, we're here to help. Can you send us a screenshot of how the issue looks like on your end? We'll see what we can suggest /MT",app_bug,False,none,"Windows client will not open after an update (missing DLLs) and will not uninstall. 'TRIGGERED' is frustration, not abuse. Weak label agrees."
36,38910,506027,How can I purchase the $99 yearly sub with gift cards?,"Hi Jacob! You'll need to use a recurring payment method that's available when signing up for a standard Spotify subscription, such as PayPal or a debit/credit card. Hope this clears things up /WW",billing_and_refund,True,billing_dispute,"HARD CALL. Buying the yearly plan with gift cards: the obstacle is the payment method, so money beats plan (tie-break 2). Nothing is actually disputed, but billing_dispute is the enum's only money category. Brand answered fully in public - this is the accepted cost of escalating the whole money class. Weak label said how_to_question; disagree per tie-break 5."
37,25202,2275438,how long does it take you to get a new song on?? This is frustrating been with you since 2013 and getting bored of this 😴 #boame,Hey! Some licensing agreements can affect music availability. More info here: Let us know if you need more help /NY,content_availability,False,none,"'How long does it take to get a new song on' is about the catalogue, not about using a feature. Brand answers with the licensing page. Weak label said how_to_question; disagree."
38,23280,2135059,You guys should collab with to make a snap filter that displays what song the device is currently streaming on #Spotify,Hey Richard! We can see how that’d be useful! You can vote for the official idea here: /JX,feature_request,False,none,Wants a Snapchat now-playing filter built. Weak label said playback_issue on 'streaming'; disagree.
39,25623,2295223,you really released a new update but didn’t update your app for iPhone X? Apple Music sounding better and better all the time 💁🏻‍♂️💁🏻‍♂️💁🏻‍♂️,Hey Brandon! We understand - we’re working on it as we speak. Stay tuned! /BH,feature_request,False,none,"iPhone X screen support missing; same call as row 12. Weak label said app_bug; disagree - nothing is broken, the adaptation does not exist yet."
40,39486,567177,hello please bring back my babies album(s) back online so i can hear them sing thank you,"Hey, help's here! Can you tell us the artist/albums you're looking for? We'll see what we can suggest /JS",content_availability,False,none,Asks for albums to be put back online; brand asks which artist but the class is clear.
41,21814,2028714,Where do I get the code for the presale??,Hi Brittany! Pre-sale codes are being sent out by email to some of Blake Shelton's biggest fans on Spotify. Hopefully you're one of them /JP,other,True,out_of_scope,"Where to get a presale code for an artist promotion. The surface test decides it: concert presales and ticketing are not the Spotify product, so other/out_of_scope regardless of how the brand replied. Weak label said how_to_question; disagree."
42,36927,2928675,I have an artist issue. DM me plz & thnx :(,Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ,other,True,human_requested,"'I have an artist issue. DM me plz' - explicit DM request plus no content. Artist matters are out of scope anyway, but the explicit human request is the higher-priority reason. Weak label said content_availability on the word 'artist'; disagree."
43,37240,2948922,deleted my music library🙃,"Hey, that's not cool! Can you DM us your account's username or email address? We'll see what's happening backstage /JM",library_playlist_issue,True,needs_account_access,"HARD CALL. 'deleted my music library' - terse, and the brand's reply is a pure 'DM us your username or email' deflect with no published fix in it. Guide rule (b)9 applies whatever the intent looks like: where the brand needed the account, so does the agent. Escalated on review; it was first labelled none on the argument that the recovery page is the obvious answer, which read the intent rather than the reply. Weak label agrees."
44,35212,2828375,I need to send you a message regarding the charges to me.,Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA,billing_and_refund,True,human_requested,"'I need to send you a message regarding the charges to me' - an explicit ask to take the conversation to a person, which outranks the money reason in the guide's ordering, same as rows 19 and 138. Weak label agrees on intent."
45,40135,601852,"dear , please make a way for me to block taylor swift. #ruinedplaylists","Hey! We're afraid that's not possible right now, but we have more info about this on our Community. Check it out: /NJ",feature_request,False,none,Wants an artist-blocking feature that does not exist. Weak label agrees.
46,28486,2536624,"is spotify programmed to turn on and start playing the same time everyday, because mine seems to do that","Hey Kody, help's here! Could you let us know what device, operating system, and version of Spotify you're using? We'll see what we can suggest /JT",playback_issue,False,none,"Music starts playing by itself at the same time daily. Playback behaving on its own rather than the client crashing, so playback_issue; brand asks the device/OS/version diagnostic. Weak label agrees."
47,37655,2979812,"Hi, I made a mistake. I meant to upgrade from single premium to family premium and I was charged for both, I think. Kindly advise. Thank you",Hi Edwin! We've just replied to your DM. Let's continue chatting there /JL,billing_and_refund,True,billing_dispute,Charged for both single and family Premium after an upgrade. Both intents present; money beats plan (tie-break 2). Weak label agrees.
48,27522,2442045,Why is there no sleep timer on the app 😐😐😐,Hey Claire! A sleep timer is a great idea. Help make it happen by adding support here: 😉 /CH,feature_request,False,none,Wants a sleep timer; brand points at the idea vote. Weak label said other; disagree.
49,22796,1770723,"Hey , if there's a big volume change since the last time I played music maybe don't start playing at the new volume? I like my ears continuing to work.","Hey Aaron! We have some more info at If you have any other questions, just give us a shout 🙂 /KC",feature_request,False,none,"Suggests the player should not resume at a changed system volume - a design change, nothing broken. Weak label said playback_issue; disagree."
50,39366,560011,". Please review your choice of ads. It's 2017, there's no need to use lazy casual sexism...I'm pretty sure men can think for themselves! #pandorad",Hi Christine! Thanks for reporting. Could you DM us a link to the material in question? We’ll take a look /QI,other,True,safety_legal,"HARD CALL. Reports sexist advertising content and asks the brand to review it. No support resolution, so intent is other; the reason is safety_legal because a discrimination complaint is a human/trust-and-safety matter (the enum has no content-moderation category) and the brand DM'd to collect the material. Weak label agrees on intent."
51,37514,2968472,Hey what's going on the past couple days? It's crashing all the time. Not amused with a premium account that doesn't play any music #silence,"Hey Danielle, that doesn't sound right. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RH",app_bug,False,none,Client crashing repeatedly; brand asks for device/OS/version. Weak label agrees.
52,17777,1962205,"For the last few days, if I'm playing the PC app, I'm getting notifications on my phone when a new song starts. Please help!!",Hey Dana! What OS and Spotify version are you running on each device? We'll see what we can suggest /BH,app_bug,False,none,"Phone shows a notification every time a new song starts on the desktop app - unwanted client behaviour, not audio failing. Weak label said playback_issue; disagree."
53,18154,1969645,I'm a podcast lover w/ a suggestion: if I'm using bluetooth & get a phone notification can you pause so I don't miss anything?,"Hey Sydney, this sounds like a great idea! Suggest it in our Community at and get support from other users /PK",feature_request,False,none,Suggests auto-pause on a phone notification over Bluetooth. Weak label agrees.
54,32192,634040,Can someone please help me - I can't log into my account and all 'help' isn't very helpful - anyone live I can speak with?,"Hey Theresa, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",account_access,True,human_requested,Cannot log in AND asks 'anyone live I can speak with' - the explicit human request outranks needs_account_access in the guide's ordering. Weak label agrees on intent.
55,35860,2890071,"i heard that spotify is supposed to release in romania today,is it true?",We're launching in new countries as often as possible. Be sure to add your email at /MX,content_availability,False,none,Country-launch rumour (Romania); brand gives the launch mailing-list answer. Weak label agrees.
56,25107,2264849,"Hi ! I'm having issues getting my spotify account set up with Hulu. I keep getting this error ""We’re having trouble authorizing your account with Spotify. Please contact Spotify support to help resolve this issue."" Help please!!","Hey, help's here! Could you DM us your username and email address? We'll take a closer look /JQ",subscription_plan,True,needs_account_access,Hulu bundle will not authorise against the Spotify account - plan activation. Weak label agrees.
57,20712,1583960,get mixtapes please 🙏,Hey! We’ve got some info about mixtapes here: /DF,content_availability,False,none,Asks for mixtapes in the catalogue; brand answers with the mixtapes info page. Weak label said other; disagree.
58,34508,466056,"hey there I am having problem on my app, the advertisement just keep popping out and I could not close it, until I kill the app and boot again, the problem continue happening","Hey, the cavalry's here! What's the exact device, operating system, and Spotify app version you're using? Can you also send over a screenshot of the ad you're getting? We'll do our best to help out /NJ",app_bug,False,none,"An ad cannot be dismissed and forces an app restart - client bug, and the brand runs the app_bug diagnostic. Weak label said other; disagree."
59,40124,595178,Hey guys I’m already a premium subscriber. How do I say yes to the special 99$ yearly rate ending 12/31. ? Thx.,Hey there! Can you DM us your account's email address? We'll see what we can suggest /MV,subscription_plan,True,needs_account_access,"Existing Premium subscriber asking how to move to the annual rate: a plan switch, so subscription_plan (contrast row 36, where the obstacle was the payment method). Weak label said how_to_question; disagree per tie-break 5."
60,21641,1695246,Is the web player down right now? Just getting a black screen or the login screen...,"Hey, that's odd! Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us know how it goes /KL",app_bug,False,none,"Web player shows a black screen; brand suggests cache/cookies and incognito - in-thread fix. Weak label said account_access because the word 'login' appears; disagree, they are not locked out."
61,23000,2095032,"How do I remove a playlist that just says ""Loading..""? A right click and ""Unfollow"" does nothing.","Hi there! Can you let us know the device, OS, and Spotify version you're running? We'll see what we can suggest /RE",app_bug,False,none,"BORDERLINE. A playlist stuck on 'Loading..' cannot be unfollowed - the client is not responding to the action, so app_bug rather than library_playlist_issue (nothing is lost) and not how_to_question (they know the step, it fails). Weak label agrees."
62,34987,2813982,You what would be great? If you could pay the monthly via Google play wallet.,Hey there! We can see how that’d be useful! You can vote for the official idea here: /FR,billing_and_refund,True,billing_dispute,"Wants to pay monthly through Google Play wallet, which is not a supported payment method. A question about an unsupported or unavailable payment method is billing_and_refund (tie-break 10), the same call as rows 36 and 129; the earlier feature_request reading treated the missing method as a missing feature. Weak label said feature_request; disagree."
63,28184,2508323,"I belong to premium for family, but my phone reset all the apps,I can't access to my premium acct I can't listen what I want plus I have to listen the ads.I got the invitation from My brother but when I sign in takes me to the same account. What can I do?",Hey Jennifer! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN,account_access,True,needs_account_access,"Sign-in lands on the wrong account after a phone reset, so they are locked out of their family Premium. Primary blocker is access; the family invite is the second issue. Weak label agrees."
64,30825,2754876,"Hi, I have recently moved to Norway from Sweden, can't change country or card details (cancelled old bank card). Please help.","Hey Magnus, help's here. Could you DM us your account's email address? We'll take a look under the hood /WP",subscription_plan,True,needs_account_access,"CLOSE CALL with billing_and_refund. Moved country and cannot change either the account country or the (cancelled) card. No money has moved and the lead complaint is the country/plan setting, so subscription_plan; payment details noted as the second issue. Weak label agrees."
65,23781,2165470,your shuffle sucks. This is on a playlist with 350+ songs. I have probably 10 songs by Betty Who and four in a row on a playlist of this many songs should never happen. This is not the first time this has happened. Please fix your shuffle. I’m sick of it,Hey Emily! We’ve recently made some improvements to our shuffle algorithm. We’d love to hear your feedback here: /RS,playback_issue,False,none,"Shuffle repeats artists on a large playlist - playback behaviour the customer considers broken (playback borderline ruling 2), not a feature request. Weak label agrees."
66,28760,2558868,"When I️ try to update my payment details so I️ can keep my premium account I️ fill out my card details, press continue, and it just keeps loading and never goes through. This has happened multiple times on different days and different computers. Please help!","Hi Hannah! We'll help out, don't worry. Can you send over the username or email address on your account via DM? We'll take a look backstage /GN",billing_and_refund,True,billing_dispute,"Updating card details to keep Premium: the form never completes. Money operation, so billing beats the 'keeps loading' app symptom; brand DM'd for the account. Same call as row 8. Weak label said app_bug; disagree."
67,29567,2618564,i’m going to school if perfect velvet isn’t on your app by the time i get home,"Fingers crossed we'll be able to have it to you soon, but there's info about Spotify content here: /KM",content_availability,False,none,"Joke framing, real catalogue ask (a specific album). Brand answers with the content page. Weak label said other; disagree."
68,31951,2809551,"my student account got deactivated until I reset my student status and now my hulu will not work, nor can I activate hulu to fix it (hulu cannot verify my spotify account or something)",Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO,subscription_plan,True,needs_account_access,Student status reset deactivated the plan and broke the Hulu bundle. Weak label agrees.
69,21568,2024656,received email asking my to follow link to change spotify password. is this real or phishing?,"Hey Mick, help's here! Can you DM us your account's username and email address along with a screenshot of the email? We'll take a look /MQ",account_access,True,safety_legal,"HARD CALL. Asks whether a password-reset email is phishing. Intent is account_access, but the reason is safety_legal: this is a fraud/security question and the highest-harm row in the batch - a confident wrong answer could walk someone into a phishing link. Weak label agrees on intent."
70,36602,2920719,Your web player fucking blows.,"Hi there, thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS",other,True,ambiguous,"HARD CALL. 'Your web player fucking blows' - a content-free rant with no symptom, so other. Deliberately NOT labelled abusive: the guide counts profanity aimed at the product as frustration, and abuse only when aimed at a person. The deterministic pre_check rule does fire 'abusive' here, so this row is a known labeller/rule disagreement. Weak label said app_bug; disagree, nothing is reported."
71,27425,2433025,should know which songs are interludes...stop putting them on daily mixes thx,Hey Madison! We'll let the right folks know it's something you'd like to see. Let us know if there's anything else we can help you with /BH,feature_request,False,none,Wants interludes excluded from daily mixes - an algorithm change request. Weak label said other; disagree.
72,38994,510478,would be nice to have playlist specific shuffle settings.,Hey Bruno! We can see how that’d be useful. You can show your support and vote for the official idea here: Give us a shout if you need anything and we'll come running 🏃 /JZ,feature_request,False,none,"Wants per-playlist shuffle settings. Weak label said playback_issue; disagree, nothing is broken."
73,38843,500998,How do i change from my Premium acct to the $99 yearly Premium deal?,"Hey Teddy, help's here! Could you DM us your account's username and email address? We'll see what we can suggest /DQ",subscription_plan,True,needs_account_access,Plan switch to the annual deal; same call as row 59. Weak label said how_to_question; disagree per tie-break 5.
74,18927,1983084,"I need the cover of The Chain to be available on , someone make this happen pls","Hey Hannah! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /MS",content_availability,False,none,Wants a specific cover version in the catalogue. Weak label said other; disagree.
75,32495,654614,put back the songs on by netnobody or contact him. This is inexcusable,"Hi there! We’d love to have all of their stuff available, but we have some info about content here: Give us a shout if you need anything else /WW",content_availability,False,none,Tracks pulled from the catalogue. Weak label agrees.
76,21258,2020872,"Will my USA-based account work while I'm traveling in Europe. If not, what do I do for music?",Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS,how_to_question,True,needs_account_access,"HARD CALL. 'Will my USA account work while travelling in Europe?' is a service-usage question, so how_to_question - but the correct answer depends on whether the account is Premium or free, and the brand pulled it into DM. Escalated via the reference-reply rule. This row is exactly the weakness the taxonomy flags for how_to_question (28.5% of them still go to DM). Weak label agrees on intent."
77,24930,2246055,as an artist who do we contact at spotify to get them to separate an artist profile/identity from another artists w/the same name?,Hi! We’d recommend reaching out to your distributor/aggregator. They'll work with our team to make sure this gets fixed up /DN,other,True,out_of_scope,"Artist asking how to split a shared artist profile. Real issue, different product surface (Spotify for Artists); the taxonomy explicitly folds artist_or_royalty_issue into other. Weak label said content_availability; disagree."
78,19997,1996450,But when can I block Ch*** B***n (or artists in general) on from showing up in my rec'd list?,"Hey Heather! This isn't possible right now, but you can show your support for the idea on our Community: /DQ",feature_request,False,none,Wants the ability to block an artist from recommendations - does not exist. Same call as row 45. Weak label said content_availability; disagree.
79,32291,645105,"hi, hello there. I just want to know why my account subscription payment already expired in 7 days and i must pay again for premium subs?? I didnt change anything on my regular payment before, can you help me?","Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",billing_and_refund,True,billing_dispute,Questions why the subscription payment expired early and must be paid again - a charge-cycle dispute rather than a plan change. Weak label agrees.
80,16988,929832,"Hi all, thought you'd like to correct your bio on from ""White"" to 'Wise'",Hey there! What's happening exactly? Could you let us know the device/OS you're using? We'll see what we can suggest /DF,other,True,out_of_scope,"Reports a typo in an artist bio. Not availability, not a client bug - a catalogue-metadata correction, adjacent to the artist/royalty matters the taxonomy folds into other. The brand misread it and asked for a device. Weak label agrees."
81,21164,2015264,hi i just had a text from you to say i need to confirm my subscription of £9.99 per month when I didn't sign up? it looks legit,Hi Laura! Could you DM us a screenshot of that text and the best email address we can contact you on? We'll take a look /NJ,billing_and_refund,True,safety_legal,"A text asks the customer to confirm a GBP 9.99 subscription they never signed up for. Intent is the unauthorised charge; the reason is safety_legal because this is most likely a phishing/fraud attempt - same call as row 69. Weak label said subscription_plan; disagree, money is the substance."
82,19395,1448200,hope you'd have afeature of translating songs by letting listeners or your team do it. Found a myanmar song but can't understand it,Hey there! Thanks for your feedback. We'll make sure this gets passed on. Have a good day 🙂 /DB,feature_request,False,none,Wants song-lyric translation built. Weak label agrees.
83,22667,1765370,I was charged the normal rate when I've had the student rate for 2 years.,Hi there. Can you DM us your account's email address? We'll take a look backstage /LM,billing_and_refund,True,billing_dispute,"Charged the full rate after two years on the student rate. Money moved, so billing beats the student/plan framing (tie-break 2). Weak label agrees."
84,20081,1541248,"spotify should have full credit/historical background on everything from mastering, to album art, to where it was published etc",Hi there! This sounds like a great idea. Suggest it in our Community at and get support from other users 🙂 /GN,feature_request,False,none,"Wants full credits and production metadata shown; brand points at the idea vote. Weak label said content_availability; disagree, the catalogue is not missing anything."
85,25878,1492579,when will you extent yourself to South Africa Please 😩😩🙏🏽🙏🏽🇿🇦,Hi there. We're launching in new countries as often as possible. Be sure to add your email at /QI,content_availability,False,none,Country launch (South Africa). Weak label said other; disagree.
86,35114,2822014,"please review this complaint, there are thing being said that you guys aren’t bothering to read,","Hey! Rest assured that we're taking all feedback into consideration, but we're afraid the discount is currently only available to users who are actively in term at their college/university. We're aiming to get every school on board, so keep checking our website for updates 🙂 /MA",other,True,ambiguous,"HARD CALL. 'Please review this complaint' with no subject. The brand's reply reveals a student-discount thread, but nothing in the message says so and the agent will never see the reply, so the honest ground truth from the message alone is ambiguous. Weak label agrees."
87,23474,2139018,"Dear - I can only hit ""thumbs down"" so many times. How can I add a #NeverPlayEddieMoney rule?","Hey Michael! Hey This isn't possible right now, but you can show your support for the idea in our Community: /AR",feature_request,False,none,Wants a never-play-this-artist rule - does not exist. Same call as rows 45 and 78. Weak label said how_to_question on 'how can I'; disagree.
88,29581,2620050,How bout you acquire streaming to the #AppleWatchSeries3,"Hi, thanks for reaching out! Check out the official idea and add your vote to let our devs know it's something you'd like to see: 😉 /GT",feature_request,False,none,Wants Apple Watch streaming support. Weak label said playback_issue on 'streaming'; disagree.
